epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,16318.9,1.36135,1.02884,0.99179,0.5714,0.46008,0.46181,0.27846,1.28449,0.95074,0.97814,0.0004456,0.0004456,0.0004456
58,16601.9,1.36211,1.02866,0.99271,0.56233,0.46257,0.45956,0.27708,1.28342,0.95047,0.97725,0.0004357,0.0004357,0.0004357
59,16875.6,1.36503,1.02603,0.99028,0.55889,0.46267,0.45959,0.2778,1.28548,0.95127,0.97729,0.0004258,0.0004258,0.0004258
60,17150.6,1.36281,1.02385,0.98697,0.56171,0.46785,0.46327,0.2794,1.28257,0.94887,0.97704,0.0004159,0.0004159,0.0004159
61,17424.4,1.35935,1.02216,0.98915,0.56985,0.462,0.46338,0.27969,1.28355,0.94787,0.97757,0.000406,0.000406,0.000406
62,17711.9,1.36151,1.01977,0.98862,0.57414,0.46508,0.46737,0.28072,1.28399,0.94749,0.97666,0.0003961,0.0003961,0.0003961
63,17986,1.35217,1.01941,0.98839,0.57348,0.46393,0.46591,0.28128,1.28362,0.94518,0.97673,0.0003862,0.0003862,0.0003862
64,18259.9,1.35443,1.015,0.98631,0.57994,0.46122,0.46464,0.27975,1.28693,0.94568,0.97737,0.0003763,0.0003763,0.0003763
65,18544.3,1.3578,1.0129,0.98621,0.57168,0.46402,0.46587,0.28107,1.28419,0.9423,0.97625,0.0003664,0.0003664,0.0003664
66,18833.4,1.35371,1.00824,0.98704,0.58263,0.45992,0.4662,0.28162,1.2821,0.94261,0.97563,0.0003565,0.0003565,0.0003565
67,19106.1,1.35611,1.01036,0.98847,0.57643,0.45966,0.46674,0.28229,1.28107,0.94386,0.97558,0.0003466,0.0003466,0.0003466
68,19388.7,1.35101,1.00593,0.98598,0.57724,0.45899,0.46615,0.28189,1.28139,0.93972,0.97634,0.0003367,0.0003367,0.0003367
69,19661.9,1.34993,1.00427,0.98468,0.58038,0.46302,0.46667,0.2821,1.28186,0.93915,0.97594,0.0003268,0.0003268,0.0003268
70,19944.4,1.34774,1.00569,0.98695,0.5738,0.46294,0.46639,0.28251,1.28098,0.93976,0.97579,0.0003169,0.0003169,0.0003169
71,20226.9,1.34303,1.00028,0.98326,0.57848,0.46141,0.46708,0.28164,1.28012,0.93835,0.97545,0.000307,0.000307,0.000307
72,20532.6,1.3449,1.00256,0.98329,0.57112,0.46599,0.46782,0.28229,1.2802,0.9377,0.97501,0.0002971,0.0002971,0.0002971
73,20818,1.34923,1.00346,0.98133,0.57211,0.46459,0.46591,0.28161,1.27882,0.93907,0.97423,0.0002872,0.0002872,0.0002872
74,21113.5,1.34791,0.99675,0.98306,0.57393,0.46447,0.46851,0.28302,1.27956,0.93791,0.97387,0.0002773,0.0002773,0.0002773
75,21387.6,1.34497,0.99353,0.98238,0.57578,0.46622,0.47019,0.28366,1.28019,0.93541,0.97449,0.0002674,0.0002674,0.0002674
76,21695.5,1.34338,0.99195,0.98021,0.57611,0.46268,0.46971,0.28361,1.27989,0.93626,0.97444,0.0002575,0.0002575,0.0002575
77,21968.5,1.3383,0.9883,0.98306,0.57905,0.46387,0.46971,0.28444,1.27906,0.93412,0.97418,0.0002476,0.0002476,0.0002476
78,22251.7,1.34526,0.99167,0.98119,0.57849,0.4647,0.47063,0.28519,1.2783,0.93396,0.974,0.0002377,0.0002377,0.0002377
79,22538.4,1.34213,0.99081,0.9813,0.57332,0.46952,0.47089,0.28536,1.27851,0.93265,0.9742,0.0002278,0.0002278,0.0002278
80,22846.6,1.34723,0.99479,0.98329,0.57668,0.46382,0.4709,0.28477,1.27924,0.93322,0.97364,0.0002179,0.0002179,0.0002179
81,23131.1,1.3437,0.98879,0.97922,0.57346,0.46512,0.47095,0.28422,1.27971,0.9332,0.97421,0.000208,0.000208,0.000208
82,23427.6,1.3419,0.98517,0.97982,0.57128,0.46621,0.47079,0.28441,1.27797,0.93273,0.97339,0.0001981,0.0001981,0.0001981
83,23702.1,1.33883,0.98655,0.97866,0.57051,0.47021,0.4723,0.28498,1.27815,0.93252,0.97279,0.0001882,0.0001882,0.0001882
84,23988,1.33824,0.98381,0.97804,0.57413,0.46995,0.47334,0.28554,1.27936,0.93284,0.97277,0.0001783,0.0001783,0.0001783
85,24281.3,1.32902,0.97434,0.9769,0.57281,0.46808,0.47347,0.28587,1.27994,0.93283,0.97334,0.0001684,0.0001684,0.0001684
86,24574.1,1.33228,0.97507,0.97628,0.57598,0.46999,0.47268,0.28545,1.28016,0.93235,0.97325,0.0001585,0.0001585,0.0001585
87,24867.1,1.33003,0.97569,0.97872,0.58185,0.46728,0.47321,0.28555,1.2802,0.93178,0.97303,0.0001486,0.0001486,0.0001486
88,25155.6,1.33495,0.97725,0.9767,0.58083,0.46923,0.47213,0.28466,1.28029,0.93068,0.97296,0.0001387,0.0001387,0.0001387
89,25451,1.33089,0.9718,0.97597,0.57583,0.46955,0.47241,0.28533,1.27951,0.93077,0.97292,0.0001288,0.0001288,0.0001288
90,25734.4,1.32245,0.96801,0.9757,0.57964,0.46891,0.4733,0.28607,1.2794,0.93054,0.97361,0.0001189,0.0001189,0.0001189
91,25968.3,1.27217,0.89557,0.96286,0.58337,0.4636,0.4713,0.28451,1.28132,0.93348,0.97417,0.000109,0.000109,0.000109
92,26209.9,1.26414,0.88119,0.96016,0.58392,0.45898,0.47101,0.28438,1.28186,0.93379,0.9741,9.91e-05,9.91e-05,9.91e-05
93,26442.6,1.26212,0.87849,0.95995,0.58348,0.45829,0.47055,0.28397,1.28324,0.93371,0.97447,8.92e-05,8.92e-05,8.92e-05
94,26675.3,1.26205,0.87425,0.95892,0.5793,0.4636,0.47162,0.28464,1.28358,0.9333,0.97481,7.93e-05,7.93e-05,7.93e-05
95,26916.9,1.25982,0.87045,0.95828,0.57801,0.46399,0.47182,0.28518,1.28426,0.9326,0.97483,6.94e-05,6.94e-05,6.94e-05
96,27149.9,1.25779,0.8693,0.95853,0.57794,0.46503,0.4718,0.28512,1.28353,0.93177,0.97469,5.95e-05,5.95e-05,5.95e-05
97,27382.6,1.25393,0.86386,0.95795,0.57967,0.46457,0.47271,0.28556,1.28371,0.93148,0.97443,4.96e-05,4.96e-05,4.96e-05
98,27615.3,1.25805,0.86422,0.95663,0.57971,0.4651,0.47215,0.28544,1.28359,0.93087,0.97444,3.97e-05,3.97e-05,3.97e-05
99,27859.6,1.25631,0.86594,0.95612,0.57788,0.46643,0.47201,0.28571,1.28323,0.93142,0.97458,2.98e-05,2.98e-05,2.98e-05
100,28110.4,1.25182,0.86415,0.95609,0.57794,0.46591,0.47166,0.28553,1.28342,0.93152,0.97457,1.99e-05,1.99e-05,1.99e-05
