epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,11583.9,1.34402,1.00208,0.98343,0.57616,0.46525,0.46985,0.28432,1.28053,0.94127,0.97527,0.000307,0.000307,0.000307
72,11742.8,1.34496,1.00184,0.98339,0.57213,0.46607,0.47181,0.28467,1.28004,0.94064,0.97512,0.0002971,0.0002971,0.0002971
73,11903.9,1.34831,1.00336,0.98118,0.57764,0.46168,0.47086,0.28407,1.27788,0.93899,0.974,0.0002872,0.0002872,0.0002872
74,12064.8,1.34888,0.997,0.98352,0.5717,0.47034,0.47099,0.28465,1.27855,0.9375,0.97408,0.0002773,0.0002773,0.0002773
75,12225.9,1.34518,0.99224,0.98236,0.57887,0.4625,0.47069,0.28409,1.27925,0.93732,0.97452,0.0002674,0.0002674,0.0002674
76,12387.6,1.3431,0.99161,0.98048,0.58338,0.46451,0.47143,0.28398,1.27846,0.93809,0.9741,0.0002575,0.0002575,0.0002575
77,12547.1,1.33736,0.98757,0.983,0.5836,0.46338,0.47316,0.28633,1.27724,0.9368,0.97405,0.0002476,0.0002476,0.0002476
78,12709.2,1.34523,0.9923,0.98134,0.57605,0.47172,0.47494,0.28711,1.27757,0.93595,0.97365,0.0002377,0.0002377,0.0002377
79,12868.9,1.34252,0.98982,0.98127,0.58688,0.46563,0.47472,0.28716,1.27694,0.93576,0.97299,0.0002278,0.0002278,0.0002278
80,13031.3,1.34849,0.9954,0.98397,0.58443,0.46644,0.47389,0.28606,1.27827,0.93585,0.9731,0.0002179,0.0002179,0.0002179
81,13192.9,1.34481,0.98742,0.97936,0.57804,0.47138,0.47403,0.28612,1.27833,0.93533,0.97277,0.000208,0.000208,0.000208
82,13353.1,1.34194,0.98356,0.98001,0.58523,0.46108,0.47248,0.28548,1.27611,0.93403,0.97273,0.0001981,0.0001981,0.0001981
83,13514.6,1.33964,0.98669,0.97921,0.58617,0.4614,0.47441,0.28587,1.27596,0.93277,0.97243,0.0001882,0.0001882,0.0001882
84,13675.6,1.33801,0.98289,0.97807,0.57847,0.4666,0.4743,0.2864,1.2762,0.93334,0.9723,0.0001783,0.0001783,0.0001783
85,13836.6,1.32942,0.97406,0.97735,0.57791,0.46778,0.4753,0.28683,1.27581,0.93211,0.97219,0.0001684,0.0001684,0.0001684
